epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,36.7332,0.9039,0.93599,1.12085,0.42497,0.45026,0.43383,0.28979,1.10495,1.3535,1.28195,0.000848969,0.000848969,0.000848969
43,37.5687,0.88697,0.90158,1.14979,0.93567,0.31628,0.41074,0.29349,1.12854,1.34729,1.27716,0.000834822,0.000834822,0.000834822
44,38.4034,0.90097,0.88121,1.12205,0.90652,0.31147,0.50862,0.35063,1.06624,1.33474,1.28893,0.000820675,0.000820675,0.000820675
45,39.2286,0.83709,0.81777,1.06498,0.81265,0.45634,0.52525,0.36835,1.00325,1.2885,1.22946,0.000806528,0.000806528,0.000806528
46,40.0562,0.81662,0.78021,1.08329,0.82858,0.41412,0.5424,0.37121,1.0711,1.22036,1.27074,0.00079238,0.00079238,0.00079238
47,40.8859,0.84571,0.83225,1.14025,0.82577,0.42646,0.50006,0.34306,1.08043,1.21439,1.28006,0.000778233,0.000778233,0.000778233
48,41.7306,0.85108,0.79452,1.09387,0.77584,0.4466,0.49627,0.34616,1.03162,1.24624,1.26197,0.000764086,0.000764086,0.000764086
49,42.6486,0.79689,0.74522,1.05444,0.46653,0.46508,0.41332,0.28422,1.14553,1.37462,1.29044,0.000749939,0.000749939,0.000749939
50,43.4762,0.81939,0.78356,1.09479,0.68286,0.45767,0.43492,0.31627,1.10146,1.35013,1.26294,0.000735792,0.000735792,0.000735792
51,44.3055,0.80937,0.73927,1.08862,0.86555,0.38643,0.47189,0.33419,1.04078,1.53259,1.22587,0.000721645,0.000721645,0.000721645
52,45.1468,0.8187,0.73519,1.05129,0.89618,0.43175,0.51359,0.3691,1.0162,1.18996,1.22245,0.000707498,0.000707498,0.000707498
53,45.9691,0.77223,0.72596,1.06593,0.67493,0.47249,0.53126,0.35367,0.99832,1.15933,1.25323,0.000693351,0.000693351,0.000693351
